"","coln","2.5 %","97.5 %","blank.1","2.5 %","97.5 %","blank.2","2.5 %","97.5 %","blank.3"
"(Intercept)",1,0.00521184915542279,20.7346178005565,"",0.00091679161819066,6.79451407958403,"",0.00013988028606544,2.64404746852293,""
"fafh.q42",2,0.303892272277466,5.01575112213223,"",0.132434302656864,2.56634141070159,"",0.16605640049797,4.9133257740094,""
"fafh.q43",3,0.119049056011199,1.8934365177115,"",0.0657459377749916,1.13918001845019,"",0.107959445119118,2.75337064437628,""
"Gender2",4,0.530412391617144,2.98551480348052,"",0.78278953280106,5.00307370861677,"",0.589757392169516,4.32625474212879,""
"Age",5,0.962974829458431,1.03257685922582,"",0.963575267588881,1.03769983577366,"",0.980454914558207,1.06189366033978,""
"Race2",6,0.662331909728188,2.65943795700527,"",0.555598154429806,2.56334689625878,"",0.513109903941499,2.75353174256117,""
"HHSize2",7,0.667690192971858,1.58780882487706,"",0.57122996361908,1.42629333981024,"",0.404721431901665,1.10346477993343,""
"IncPovRat2",8,0.337784561981844,5.3232006042342,"",0.135392619908819,3.30406864779112,"",0.11739192486415,4.44732549599878,""
"EDU",9,0.695043363564634,1.72545187006123,"",0.959608371881312,2.67412566097738,"",0.858786215539332,2.51930005662258,""
"MartitalStat_cat",10,0.565350876744493,1.32204294906874,"",0.547321719202685,1.33974069564911,"",0.666650741388383,1.72675015772017,""
"FoodAsstP2",11,0.143019750351889,1.85492853825832,"",0.193956677921619,2.88698133174988,"",0.108166852751613,2.75517762171496,""
"SmokStatFormer",12,0.815002823112439,9.01153855683431,"",1.1956846180606,15.9722955704589,"",2.7620999557859,72.8232806476589,""
"SmokStatNever",13,0.939799432002221,7.49375491746189,"",1.15009140209479,11.3825668466479,"",1.52604982111488,33.9159025723589,""
"ALCUSE2",14,0.305361559868985,1.70239853513974,"",0.4098892550845,2.49047855537211,"",0.321368969896063,2.32160771756317,""
