"","FAFH","HEI.Q1","HEI.Q2","HEI.Q3","HEI.Q4"
"1","FAFH1",0.277850099124838,0.196890482051284,0.258531623538775,0.266727795285103
"2","FAFH2",0.297748764327974,0.218551965713022,0.292676929615884,0.19102234034312
"3","FAFH3",0.291761255832704,0.164219982052716,0.361177615306702,0.182841146807878
"4","FAFH4",0.308176436182092,0.185502414883173,0.321359519867592,0.184961629067142
